tweet_id,tweet_text,class_label,event,split,event_set,target_label,clean_text,text_length,word_count,pred_label,correct
1167804007747903488,@MayorGimenez: Will make a decision tonight around 7pm regarding evacuations for special needs residents. Warns of king tides being exacerbated by possible flooding with Dorian. @WPLGLocal10,displaced_people_and_evacuations,hurricane_dorian_2019,test,set2,Critical Rescue,will make a decision tonight around 7pm regarding evacuations for special needs residents. warns of king tides being exacerbated by possible flooding with dorian.,162,24,Situational Awareness,False
908081623077474304,"#Medicare recipients still displaced by Hurrican #Irma, check out these tips on getting healthcare.",displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,"medicare recipients still displaced by hurrican irma, check out these tips on getting healthcare.",97,14,Situational Awareness,False
1041212222138068992,"Donald Trump tweeted out his deepest sympathies” to the five” families of those who have lost loved ones in Hurricane Florence. Howeverthe official death toll is actually 12, not 5. This comes days after Trump misrepresented desths in Puerto Rico.",injured_or_dead_people,hurricane_florence_2018,test,set2,Critical Rescue,"donald trump tweeted out his deepest sympathies to the five families of those who have lost loved ones in hurricane florence. howeverthe official death toll is actually 12, not 5. this comes days after trump misrepresented desths in puerto rico.",245,40,Irrelevant,False
908938947098791937,Update: Cuban officials want families to leave Irma-damaged homes but cant offer them permanent housing.,displaced_people_and_evacuations,hurricane_irma_2017,test,set1,Critical Rescue,update cuban officials want families to leave irma-damaged homes but cant offer them permanent housing.,103,15,Situational Awareness,False
1041584996333568000,"Despite the 20 of rain, wind damage &amp; not knowing if well have a home to go back to; I know 1 guy not worried about the storm. Taken during our evacuation from SE NC. #pug #Florence #HurricaneFlorence #hurricane #HurricanceFlorence #NorthCarolina #FridayFeeling #dogs #pets",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"despite the 20 of rain, wind damage and not knowing if well have a home to go back to i know 1 guy not worried about the storm. taken during our evacuation from se nc. pug florence hurricaneflorence hurricane hurricanceflorence northcarolina fridayfeeling dogs pets",265,44,Situational Awareness,False
797876138437550081,All calm except for minor aftershocks now. It was 7.8 earthquake and 2 dead. #eqnz #emergency  via @MailOnline,injured_or_dead_people,kaikoura_earthquake_2016,test,set1,Critical Rescue,all calm except for minor aftershocks now. it was 7.8 earthquake and 2 dead. eqnz emergency via,95,17,Situational Awareness,False
1039918882805301248,ICE spox told me theyre halting enforcement in areas impacted by hurricane. Bottom line is that we’re not doing enforcement in that area given the seriousness of the storm. There is no caveat to that statement. We’re even evacuating ICE personnel.,displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,ice spox told me theyre halting enforcement in areas impacted by hurricane. bottom line is that we re not doing enforcement in that area given the seriousness of the storm. there is no caveat to that statement. we re even evacuating ice personnel.,247,43,Situational Awareness,False
797794374390255617,WE HAVE BEEN EVACUATED FUCKING TSUNAMI IM SICK OF THESE FUCKING EARTHQUAKES. LIVING LIKE THIS FOR 6 YEARS NOW #eqnz,displaced_people_and_evacuations,kaikoura_earthquake_2016,test,set1,Critical Rescue,we have been evacuated fucking tsunami im sick of these fucking earthquakes. living like this for 6 years now eqnz,114,20,Irrelevant,False
1041627813202354177,"RT OCFA_PIO: CA Task Force 5 continues to work hard in Duplin County, performing numerous evacuations and rescues. The team ran the boats out into wooded areas that had become rivers to rescue residents that had been swept away. #HurricaneFlorence ocfire",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"ocfa_pio ca task force 5 continues to work hard in duplin county, performing numerous evacuations and rescues. the team ran the boats out into wooded areas that had become rivers to rescue residents that had been swept away. hurricaneflorence ocfire",249,40,Volunteering and Donations,False
903063708825473024,"Meet one of MANY volunteers up here in #Kingwood who is helping homeowners displaced by the floods. Thank you, Basil! #KHOU11 #Harvey",displaced_people_and_evacuations,hurricane_harvey_2017,test,set1,Critical Rescue,"meet one of many volunteers up here in kingwood who is helping homeowners displaced by the floods. thank you, basil! khou11 harvey",130,22,Volunteering and Donations,False
1039486037221928962,FEMA is required to provide shelter for household and service pets  #HurricaneFlorence,displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,fema is required to provide shelter for household and service pets hurricaneflorence,84,12,Volunteering and Donations,False
902632926084567040,"Burger Stadium in Austin now open as evacuee center. Urgent need: diapers, sanitary products, clothing, shoes. No food. Drop off at entrance",displaced_people_and_evacuations,hurricane_harvey_2017,test,set1,Critical Rescue,"burger stadium in austin now open as evacuee center. urgent need diapers, sanitary products, clothing, shoes. no food. drop off at entrance",139,22,Resource Requests,False
797844193108512770,RT @irishexaminer: Tsunami hits New Zealand after powerful earthquake; residents told to move to higher ground  http,displaced_people_and_evacuations,kaikoura_earthquake_2016,test,set1,Critical Rescue,tsunami hits new zealand after powerful earthquake residents told to move to higher ground http,95,15,Situational Awareness,False
1042020353667735558,"As a courtesy to ASECS members who have had 2 evacuate from the path of Hurricane Florence or whose lives have been disrupted by the storm, we ask session organizers 2 be flexible in reviewing late submissions frm members in affected region. Questions? Email asecsoffice@gmail.com",displaced_people_and_evacuations,hurricane_florence_2018,test,set2,Critical Rescue,"as a courtesy to asecs members who have had 2 evacuate from the path of hurricane florence or whose lives have been disrupted by the storm, we ask session organizers 2 be flexible in reviewing late submissions frm members in affected region. questions? email asecsoffice.com",274,45,Situational Awareness,False
797861783113330688,"RT @K8Shuttleworth: There have been casualties in Kaikoura following a severe 7.5 quake, and a tsunami between expected.",injured_or_dead_people,kaikoura_earthquake_2016,test,set1,Critical Rescue,"there have been casualties in kaikoura following a severe 7.5 quake, and a tsunami between expected.",100,16,Situational Awareness,False
